@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1,9-22-weka.filters.unsupervised.attribute.Remove-R3-4,6-7'

@attribute accelerationx-mean-300 numeric
@attribute accelerationy-mean-300 numeric
@attribute accelerationy-var-300 numeric
@attribute class {walking,sitting,standing}

@data
-6.406509,-7.57201,2.641658,walking
-6.455968,-7.210645,2.326403,walking
-6.608402,-7.22968,2.227804,walking
-6.700689,-7.12259,1.433567,walking
-6.728406,-7.490145,0.675555,walking
-6.122689,-8.215126,0.556074,walking
-6.681667,-8.5275,1.258994,walking
-6.584034,-8.89916,1.381932,walking
-6.279832,-9.136134,2.636593,walking
-5.810924,-8.05042,4.390231,walking
-5.617647,-6.942857,4.803962,walking
-5.743697,-5.717647,0.270529,walking
-6.055462,-6.084874,1.185149,walking
-6.968067,-6.868067,2.287048,walking
-6.958824,-7.447899,2.088882,walking
-6.97563,-7.578151,1.721708,walking
-6.215126,-7.698319,0.921006,walking
-6.484874,-7.858824,0.341918,walking
-6.567227,-7.869748,0.120934,walking
-7.072269,-7.464706,0.282452,walking
-7.406723,-7.151261,0.204683,walking
-7.443333,-6.965,0.237275,walking
-7.430252,-7.3,0.739832,walking
-6.510084,-7.083193,0.966608,walking
-5.796639,-6.597479,1.491002,walking
-5.208403,-5.696639,0.248224,walking
-5.562185,-5.52437,0.138482,walking
-5.826891,-6.035294,0.632536,walking
-5.97807,-6.779825,0.698803,walking
-6.715254,-7.218644,2.815415,walking
3.730252,-0.876471,0.001799,sitting
3.707563,-0.890756,0.000839,sitting
3.685714,-0.891597,0.000938,sitting
3.694958,-0.891597,0.000938,sitting
3.705882,-0.889916,0.001075,sitting
3.711765,-0.891597,0.001274,sitting
3.697479,-0.889916,0.001411,sitting
3.69916,-0.889916,0.001411,sitting
3.7,-0.885833,0.001216,sitting
3.693277,-0.892437,0.000699,sitting
3.694958,-0.894958,0.000479,sitting
3.7,-0.888235,0.001038,sitting
3.720168,-0.878992,0.001659,sitting
3.72605,-0.878151,0.001876,sitting
3.696639,-0.867227,0.002539,sitting
3.6725,-0.901667,0.004831,sitting
3.654622,-0.913445,0.005702,sitting
3.705042,-0.968908,0.005504,sitting
3.831933,-0.881513,0.02302,sitting
3.948739,-0.747899,0.045857,sitting
3.925,-0.580833,0.017883,sitting
3.833333,-0.479167,0.008149,sitting
3.755,-0.453333,0.009489,sitting
3.813445,-0.5,0.017143,sitting
3.884034,-0.640336,0.031314,sitting
3.894958,-0.784874,0.015233,sitting
3.881513,-0.853782,0.010049,sitting
3.87395,-0.931092,0.020966,sitting
3.902521,-1.013445,0.031248,sitting
3.906723,-1.10084,0.015041,sitting
3.910084,-1.087395,0.014883,sitting
3.847899,-1.165546,0.03688,sitting
3.783193,-1.263866,0.046846,sitting
3.772269,-1.315126,0.02683,sitting
3.791597,-1.247899,0.025353,sitting
3.810084,-1.270588,0.03216,sitting
3.751261,-1.365546,0.030662,sitting
3.765546,-1.386555,0.024861,sitting
3.855,-1.345833,0.019149,sitting
3.818487,-1.333613,0.0145,sitting
3.701681,-1.343697,0.009015,sitting
3.480672,-1.392437,0.020699,sitting
3.415966,-1.421849,0.024229,sitting
3.368908,-1.476471,0.015749,sitting
3.355462,-1.45042,0.010567,sitting
3.301681,-1.45042,0.00855,sitting
3.264407,-1.481356,0.005924,sitting
3.25042,-1.486555,0.004021,sitting
3.27395,-1.492437,0.005405,sitting
3.265833,-1.515,0.008442,sitting
3.194118,-1.551261,0.004851,sitting
3.098319,-1.562185,0.0042,sitting
3.043697,-1.569748,0.003791,sitting
3.0125,-1.594167,0.002383,sitting
2.994958,-1.605882,0.002066,sitting
2.980672,-1.581513,0.003188,sitting
2.993277,-1.576471,0.003144,sitting
2.987395,-1.610924,0.006687,sitting
2.959664,-1.621849,0.005573,sitting
2.946218,-1.633613,0.005929,sitting
2.938655,-1.580672,0.008786,sitting
2.968333,-1.604167,0.009399,sitting
2.993333,-1.600833,0.011416,sitting
2.970339,-1.6,0.007119,sitting
2.963866,-1.593277,0.006341,sitting
2.927731,-1.581513,0.00302,sitting
2.957143,-1.572269,0.003517,sitting
2.978992,-1.547899,0.002496,sitting
2.988333,-1.55,0.0025,sitting
2.970833,-1.5625,0.002344,sitting
2.954622,-1.54958,0.0025,sitting
2.987395,-1.539496,0.002894,sitting
3.037815,-1.530252,0.002614,sitting
3.036134,-1.546218,0.00299,sitting
3.002521,-1.535294,0.002284,sitting
2.984034,-1.553782,0.002486,sitting
2.987395,-1.554622,0.002479,sitting
3,-1.563025,0.00233,sitting
2.973109,-1.546218,0.002654,sitting
2.957143,-1.546218,0.002654,sitting
2.948739,-1.554622,0.003319,sitting
2.953782,-1.548739,0.004011,sitting
2.985714,-1.531933,0.004695,sitting
2.97479,-1.521849,0.003556,sitting
2.992437,-1.508403,0.003459,sitting
3,-1.500833,0.003416,sitting
3.037815,-1.464706,0.002452,sitting
3.060833,-1.445,0.003475,sitting
3.123529,-1.406723,0.004156,sitting
3.231933,-1.380672,0.003576,sitting
3.343697,-1.344538,0.008184,sitting
3.370588,-1.321849,0.008094,sitting
3.368067,-1.301681,0.00672,sitting
3.365546,-1.302521,0.001086,sitting
3.363025,-1.313445,0.001332,sitting
3.331092,-1.315966,0.001342,sitting
3.311765,-1.314286,0.001393,sitting
3.325833,-1.3175,0.001777,sitting
3.336975,-1.32521,0.002222,sitting
3.315126,-1.331933,0.002342,sitting
3.264167,-1.333333,0.002222,sitting
3.276471,-1.311765,0.004063,sitting
3.313445,-1.303361,0.005031,sitting
3.348739,-1.305882,0.00526,sitting
3.3225,-1.314167,0.003383,sitting
3.288235,-1.316807,0.003415,sitting
3.297479,-1.306723,0.00298,sitting
3.308403,-1.301681,0.003359,sitting
3.311765,-1.311765,0.002551,sitting
3.288235,-1.312605,0.00295,sitting
3.2725,-1.314167,0.004049,sitting
3.226667,-1.324167,0.004666,sitting
3.204167,-1.325,0.005708,sitting
3.187395,-1.344538,0.003815,sitting
3.203361,-1.333613,0.003576,sitting
3.17395,-1.341176,0.002926,sitting
3.2,-1.322689,0.003435,sitting
3.230833,-1.33,0.0051,sitting
3.273333,-1.348333,0.008497,sitting
3.221186,-1.377966,0.006633,sitting
3.163866,-1.389916,0.005108,sitting
3.12605,-1.380672,0.002063,sitting
3.109167,-1.4375,0.008177,sitting
3.0475,-1.493333,0.008789,sitting
2.933333,-1.533333,0.003389,sitting
2.889076,-1.507563,0.003892,sitting
2.939496,-1.5,0.003529,sitting
2.982353,-1.512605,0.003959,sitting
2.982353,-1.521008,0.00418,sitting
2.951261,-1.509244,0.005041,sitting
2.978151,-1.492437,0.005573,sitting
3.011765,-1.492437,0.005405,sitting
3.014286,-1.484874,0.004309,sitting
2.99916,-1.453782,0.004334,sitting
3,-1.437815,0.002856,sitting
3.028571,-1.439496,0.002894,sitting
3.070588,-1.452101,0.002496,sitting
3.07479,-1.441176,0.002422,sitting
3.048333,-1.441667,0.002597,sitting
3.039496,-1.45042,0.002668,sitting
3.048739,-1.462185,0.00252,sitting
3.085714,-1.437815,0.00336,sitting
3.09,-1.448333,0.003497,sitting
3.0725,-1.438333,0.003364,sitting
3.040833,-1.446667,0.002489,sitting
3.031092,-1.433613,0.002231,sitting
3.055085,-1.433898,0.00241,sitting
3.068908,-1.432773,0.002371,sitting
3.064706,-1.441176,0.00259,sitting
3.066667,-1.438333,0.002531,sitting
3.078992,-1.454622,0.002647,sitting
3.067227,-1.458824,0.003262,sitting
3.035833,-1.475,0.002542,sitting
3.001681,-1.494118,0.003411,sitting
2.970588,-1.510084,0.003932,sitting
2.905882,-1.523529,0.00264,sitting
2.859664,-1.521008,0.00334,sitting
2.878992,-1.514286,0.002569,sitting
2.918487,-1.515966,0.00235,sitting
2.936975,-1.515126,0.001788,sitting
2.92,-1.526667,0.002456,sitting
2.894167,-1.528333,0.003197,sitting
2.89916,-1.520168,0.004131,sitting
2.921849,-1.506723,0.003652,sitting
2.947059,-1.505042,0.003168,sitting
2.954622,-1.514286,0.002233,sitting
2.952941,-1.515966,0.003022,sitting
2.952941,-1.492437,0.004733,sitting
2.952941,-1.486555,0.004189,sitting
2.936134,-1.464706,0.003124,sitting
2.978992,-1.438655,0.005901,sitting
3.0425,-1.398333,0.003831,sitting
3.131933,-1.352101,0.005017,sitting
