@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,16-22-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute accelerationx-mean-1000 numeric
@attribute accelerationy-mean-1000 numeric
@attribute accelerationz-mean-1000 numeric
@attribute class {walking,sitting,standing}

@data
3.066162,-1.438131,-9.328283,sitting
3.068182,-1.440909,-9.329798,sitting
3.056313,-1.44899,-9.332071,sitting
3.049242,-1.446212,-9.334848,sitting
3.046835,-1.457468,-9.337215,sitting
3.035606,-1.468182,-9.341919,sitting
3.011616,-1.47298,-9.344192,sitting
2.988131,-1.483586,-9.34899,sitting
2.978788,-1.492677,-9.35202,sitting
2.967677,-1.495455,-9.354798,sitting
2.949242,-1.506566,-9.357323,sitting
2.931061,-1.514394,-9.362121,sitting
2.915404,-1.516414,-9.365404,sitting
2.909091,-1.520202,-9.367424,sitting
2.907071,-1.518182,-9.368687,sitting
2.908333,-1.514899,-9.368182,sitting
2.923737,-1.517424,-9.369444,sitting
2.935101,-1.516667,-9.364646,sitting
2.930556,-1.508333,-9.364394,sitting
2.933838,-1.508586,-9.361364,sitting
2.934596,-1.501263,-9.362121,sitting
2.948608,-1.481772,-9.360253,sitting
2.978788,-1.469192,-9.351768,sitting
3.004545,-1.45101,-9.345455,sitting
3.020455,-1.42803,-9.337879,sitting
3.048232,-1.407828,-9.338889,sitting
3.091414,-1.377525,-9.327778,sitting
3.12702,-1.344697,-9.321212,sitting
3.168939,-1.332828,-9.315152,sitting
3.199242,-1.310354,-9.307323,sitting
3.222222,-1.285101,-9.295707,sitting
3.243434,-1.270455,-9.289141,sitting
3.272222,-1.255556,-9.285859,sitting
3.309596,-1.243434,-9.27702,sitting
3.339646,-1.234091,-9.270707,sitting
3.351263,-1.223232,-9.260101,sitting
3.351263,-1.211869,-9.258333,sitting
3.362374,-1.210101,-9.253788,sitting
3.366667,-1.197475,-9.244697,sitting
3.382323,-1.191667,-9.243687,sitting
3.407828,-1.195707,-9.242929,sitting
3.436616,-1.196212,-9.234848,sitting
3.434343,-1.190404,-9.22904,sitting
3.423291,-1.189367,-9.228354,sitting
3.416667,-1.194949,-9.221717,sitting
3.42197,-1.194192,-9.224747,sitting
3.423291,-1.208354,-9.217215,sitting
3.414937,-1.217215,-9.221772,sitting
3.42803,-1.226263,-9.22298,sitting
3.42904,-1.224747,-9.219697,sitting
3.418939,-1.220202,-9.217929,sitting
3.399242,-1.219192,-9.220455,sitting
3.4,-1.223232,-9.22399,sitting
3.39798,-1.225758,-9.225253,sitting
3.4,-1.223737,-9.229293,sitting
3.401263,-1.225,-9.221717,sitting
3.398232,-1.222727,-9.228535,sitting
3.401768,-1.22197,-9.224747,sitting
3.392424,-1.217424,-9.225505,sitting
3.387374,-1.215404,-9.227778,sitting
3.395202,-1.217424,-9.227273,sitting
