% Group: LeisterMeierMulterer
% Date: 2018-05-23 21:44

@RELATION sysdev

@ATTRIBUTE timestamp     NUMERIC
@ATTRIBUTE accelerationx NUMERIC
@ATTRIBUTE accelerationy NUMERIC
@ATTRIBUTE accelerationz NUMERIC

@Data
1527104704634,3.0,-1.7,-9.3
1527104704636,3.0,-1.7,-9.3
1527104704639,3.0,-1.6,-9.3
1527104704642,3.0,-1.6,-9.3
1527104704644,3.0,-1.6,-9.3
1527104704646,3.0,-1.6,-9.2
1527104704649,3.0,-1.6,-9.2
1527104704652,3.0,-1.6,-9.3
1527104704654,3.0,-1.6,-9.3
1527104704657,3.0,-1.7,-9.4
1527104704659,2.9,-1.6,-9.3
1527104704662,2.9,-1.7,-9.3
1527104704664,2.9,-1.6,-9.3
1527104704667,2.9,-1.6,-9.4
1527104704669,2.9,-1.6,-9.3
1527104704672,3.0,-1.6,-9.3
1527104704674,3.0,-1.6,-9.3
1527104704677,3.0,-1.6,-9.3
1527104704680,3.0,-1.5,-9.4
1527104704682,3.0,-1.6,-9.4
1527104704684,3.0,-1.5,-9.4
1527104704687,3.0,-1.5,-9.5
1527104704689,3.0,-1.5,-9.4
1527104704692,3.0,-1.5,-9.4
1527104704695,3.0,-1.5,-9.4
1527104704697,3.0,-1.5,-9.4
1527104704699,3.0,-1.5,-9.4
1527104704702,3.1,-1.5,-9.4
1527104704705,3.1,-1.5,-9.4
1527104704707,3.1,-1.5,-9.4
1527104704710,3.1,-1.5,-9.4
1527104704712,3.1,-1.5,-9.4
1527104704715,3.1,-1.5,-9.4
1527104704717,3.1,-1.5,-9.4
1527104704720,3.1,-1.5,-9.4
1527104704723,3.1,-1.5,-9.3
1527104704725,3.1,-1.5,-9.3
1527104704727,3.1,-1.5,-9.3
1527104704730,3.0,-1.5,-9.3
1527104704732,3.0,-1.6,-9.3
1527104704735,3.0,-1.6,-9.3
1527104704738,3.0,-1.6,-9.3
1527104704740,2.9,-1.5,-9.3
1527104704742,3.0,-1.6,-9.3
1527104704745,3.0,-1.5,-9.3
1527104704748,3.0,-1.6,-9.3
1527104704750,3.0,-1.6,-9.3
1527104704752,2.9,-1.6,-9.3
1527104704756,3.0,-1.5,-9.3
1527104704758,2.9,-1.6,-9.3
1527104704761,2.9,-1.6,-9.3
1527104704763,2.9,-1.6,-9.3
1527104704765,2.9,-1.6,-9.3
1527104704769,2.9,-1.5,-9.3
1527104704771,2.9,-1.5,-9.3
1527104704773,2.9,-1.6,-9.3
1527104704775,2.9,-1.6,-9.3
1527104704778,2.9,-1.6,-9.3
1527104704781,2.9,-1.5,-9.3
1527104704784,3.0,-1.5,-9.3
1527104704786,2.9,-1.5,-9.3
1527104704789,3.0,-1.5,-9.4
1527104704791,3.0,-1.5,-9.3
1527104704793,3.0,-1.5,-9.3
1527104704796,3.0,-1.5,-9.3
1527104704798,3.0,-1.6,-9.4
1527104704801,3.0,-1.6,-9.3
1527104704804,3.0,-1.6,-9.4
1527104704806,3.0,-1.6,-9.3
1527104704809,3.0,-1.5,-9.3
1527104704812,3.0,-1.5,-9.3
1527104704814,3.0,-1.5,-9.3
1527104704816,3.0,-1.6,-9.3
1527104704819,3.0,-1.6,-9.3
